Organ	SampleName	SampleBarcodePattern
StomachEsophagus	T399_b10_Stomach_PCW17	A[0-9][0-9]
StomachEsophagus	T35_b10_Stomach_PCW17	B[0-9][0-9]
StomachEsophagus	T269_b10_Stomach_PCW18	C[0-9][0-9]
StomachEsophagus	T53_b10_Stomach_PCW20	D[0-9][0-9]
StomachEsophagus	T238_b10_Stomach_PCW21	E[0-9][0-9]
StomachEsophagus	T322_b10_Stomach_PCW21	F[0-9][0-9]
StomachEsophagus	dummy	G[0-9][0-9]
StomachEsophagus	T303_b10_Esophagus_PCW21	H[0-9][0-9]
Heart	T379_b11_Heart_PCW15	A[0-9][0-9]
Heart	T104_b11_Heart_PCW17	B[0-9][0-9]
Heart	T30_b11_Heart_PCW17	C[0-9][0-9]
Heart	T92_b11_Heart_PCW18	D[0-9][0-9]
Heart	T407_b11_Heart_PCW19	E[0-9][0-9]
Heart	T361_b11_Heart_PCW20	F[0-9][0-9]
Heart	T032_b11_Heart_PCW12	G[0-9][0-9]
Heart	T014_b11_Heart_PCW18	H[0-9][0-9]
Lung_b12	T286_b12_Lung_PCW14	A[0-9][0-9]
Lung_b12	T132_b12_Lung_PCW21	B[0-9][0-9]
Lung_b12	T107_b12_Lung_PCW17	C[0-9][0-9]
Lung_b12	T256_b12_Lung_PCW18	D[0-9][0-9]
Lung_b12	T408L_b12_Lung_PCW19	E[0-9][0-9]
Lung_b12	T226_b12_Lung_PCW21	F[0-9][0-9]
Lung_b12	T304_b12_Lung_PCW21	G[0-9][0-9]
Lung_b12	T164_b12_Lung_PCW10	H[0-9][0-9]
Eye	T106_b13_Eye_PCW17	A[0-9][0-9]
Eye	T79_b13_Eye_PCW18	B[0-9][0-9]
Eye	T5_b13_Eye_PCW19	C[0-9][0-9]
Eye	T51_b13_Eye_PCW20	D[0-9][0-9]
Eye	T186_b13_Eye_PCW23	E[0-9][0-9]
Eye	T180_b13_Eye_PCW19	F[0-9][0-9]
Eye	T410_b13_Eye_PCW13	G[0-9][0-9]
Eye	dummy	H[0-9][0-9]
Liver	T398_b15_Liver_PCW17	A[0-9][0-9]
Liver	dummy	B[0-9][0-9]
Liver	T375_b15_Liver_PCW15	C[0-9][0-9]
Liver	T350_b15_Liver_PCW21	D[0-9][0-9]
Liver	T235_b15_Liver_PCW21	E[0-9][0-9]
Liver	T71_b15_Liver_PCW18	F[0-9][0-9]
Liver	T275_b15_Liver_PCW18	G[0-9][0-9]
Liver	T166_b15_Liver_PCW19	H[0-9][0-9]
AdrenalThyroidSpleen	T390_b16_Adr_PCW13	A[0-9][0-9]
AdrenalThyroidSpleen	T40_b16_Adr_PCW17	B[0-9][0-9]
AdrenalThyroidSpleen	T273_b16_Adr_PCW18	C[0-9][0-9]
AdrenalThyroidSpleen	dummy	D[0-9][0-9]
AdrenalThyroidSpleen	T318_b16_Adr_PCW21	E[0-9][0-9]
AdrenalThyroidSpleen	T176_b16_Thyroid_PCW19	F[0-9][0-9]
AdrenalThyroidSpleen	T136_b16_Thyroid_PCW21	G[0-9][0-9]
AdrenalThyroidSpleen	T314_b16_Spleen_PCW21	H[0-9][0-9]
