Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
LI_13	Liver	LI	13	epi	LI_13_cholangiocyte	Liver cholangiocyte	cholangiocyte	1	1004	1986	1462.5	7509.5	11.826	0.516103027	PKHD1 ANXA4 cholangiocyte (secretes bile)	#3b46a3	#11A579	Liver_c13
LI_3	Liver	LI	3	epi	LI_3_hepatocyte 2	Liver hepatocyte	hepatocytes	2	8171	1655	1250	8819	12.887	0.541912098	high AFP ALB APOB	#3b46a3	#11A579	Liver_c3
LI_6	Liver	LI	6	epi	LI_6_hepatocyte 4	Liver hepatocyte	hepatocytes	3	3701	2070	1521	9119	13.364	0.53230799	high AFP ALB APOB	#3b46a3	#11A579	Liver_c6
LI_1	Liver	LI	1	epi	LI_1_hepatocyte 1	Liver hepatocyte	hepatocytes	4	14247	2051	1477	7801	12.255	0.535465355	high AFP ALB APOB	#3b46a3	#11A579	Liver_c1
LI_4	Liver	LI	4	epi	LI_4_hepatocyte 3	Liver hepatocyte	hepatocytes	5	3807	3849	2315	6913	11.255	0.516666667	entirely T375_b15_Liver_PCW15; AFP marker	#3b46a3	#11A579	Liver_c4
AG_2	Adrenal	AG	2	epi	AG_2_adrenal cortex 3	Adrenal adrenal cortex	adrenal cortex	6	511	10567	3661	5692	9.683	0.267903226	NR5A1+ AKR1B1+ SULT2A1+ CYP11A1/CYP11B1+; all PCW18	#876941	#11A579	Adrenal_c2
AG_0	Adrenal	AG	0	epi	AG_0_adrenal cortex 1	Adrenal adrenal cortex	adrenal cortex	7	823	9498	3280	6784	9.832	0.290608575	NR5A1+ CYP11A1/CYP11B1+; mostly PCW21; groups with 2 and 3 in cluster tree	#876941	#11A579	Adrenal_c0
AG_3	Adrenal	AG	3	epi	AG_3_adrenal cortex 4	Adrenal adrenal cortex	adrenal cortex	8	483	6340	2487	5519	9.876	0.302071041	NR5A1+; mosly PCW21	#876941	#11A579	Adrenal_c3
EY_21	Eye	EY	21	epi	EY_21_cornea 2	Eye cornea	cornea	9	67	4192	2493	7417	8.351	0.256375049	PIP5K1B COL4A3 COL4A4	#ff9f0f	#11A579	Eye_c21
LU_14	Lung	LU	14	epi	LU_14_pulmonary neuroendocrine	Lung pulmonary neuroendocrine	endocrine	10	3041	3994	2447	8665	10.112	0.403747579	GRP NRG1 NRXN1 GRIK2 markers; high GHRL (although not markers)	#f0643e	#11A579	Lung_c14
ST_16	StomachEsophagus	ST	16	epi	ST_16_endocrine cells	StomachEsophagus endocrine cells	endocrine	11	1289	2003	1438	5616	7.537	0.34012912	GHRL+ high SST HDC	#208A42	#11A579	Stomach_c16
